id,name,description
1,clarinet,"The clarinet is a single-reed musical instrument in the woodwind family, with a nearly cylindrical bore and a flared bell."
2,double bass,"Known also as contrabass or upright bass, it is the largest and lowest-pitched member of the modern violin family and a principal member of the symphony orchestra."
3,drums (drum set),"Set of drums developed from the 1930's onward, it is used in Jazz, Swing, Rock and Pop music. It consists of snare drum, tom-toms, hi-hats, cymbals and bass drum."
4,electric bass guitar,"Solid body 4-stringed electric bass guitar. The most common for ""bass guitar"" and ""bass"" credits in popular (rock) music."
5,electric guitar,"An electric guitar is a guitar that, unlike a standard acoustic guitar, requires external electric sound amplification to be heard at typical performance volumes. It uses one or more pickups to convert the vibration of its strings into electrical signals, which ultimately are reproduced as sound by loudspeakers. The sound is sometimes shaped or electronically altered to achieve different timbres or tonal qualities via amplifier settings or knobs on the guitar. Often, this is done through the use of effects such as reverb, distortion and overdrive; the latter is considered to be a key element of electric blues guitar music, rock and heavy metal guitar playing. Designs also exist combining attributes of electric and acoustic guitars: the semi-acoustic and acoustic-electric guitars."
6,four-string banjo,"Lacking the short drone string of its predecessor, it is usually played with a plectrum and has 22 frets."
7,synthesizer,"A synthesizer is an electronic musical instrument that generates audio signals. Synthesizers typically create sounds by generating waveforms through methods including subtractive synthesis, additive synthesis, and frequency modulation synthesis. These sounds may be altered by components such as filters, which cut or boost frequencies; envelopes, which control articulation, or how notes begin and end; and low-frequency oscillators, which modulate parameters such as pitch, volume, or filter characteristics affecting timbre. Synthesizers are typically played with keyboards or controlled by sequencers, software or other instruments, and can be synchronized to other equipment via MIDI."
8,trombone,"The trombone is a musical instrument in the brass family. As with all brass instruments, sound is produced when the player's lips vibrate inside a mouthpiece, causing the air column inside the instrument to vibrate. Nearly all trombones use a telescoping slide mechanism to alter the pitch instead of the valves used by other brass instruments. The valve trombone is an exception, using three valves similar to those on a trumpet, and the superbone has valves and a slide."
9,trumpet,"The trumpet is a brass instrument. The most common type of trumpet is a transposing instrument in B♭, with pitches sounding a whole step lower than written. The trumpet family includes instruments ranging from the piccolo trumpet, with the highest register in the brass family, to the bass trumpet, pitched one octave below the standard B♭ or C trumpet."
10,tuba,"The tuba is a large brass instrument in the bass-to-contrabass range. It is a member of the valved bugles, a large and diverse family of instruments characterized by their wide conical bore and use of valves to alter pitch. The tuba usually has four or five valves, although some models have three or six. Descending from the serpent and ophicleide, the tuba was invented in Prussia by Wilhelm Friedrich Wieprecht and Johann Gottfried Moritz and patented in 1835 as the Baß-Tuba, pitched in 12-foot F. Its five valves provided a fully chromatic contrabass instrument with a deep, full contrabass timbre."
