id,name,description
1,pop,"Pop music, or simply pop, is a genre of popular music that originated in its modern form during the mid-1950s in the United States and the United Kingdom. During the 1950s and 1960s, pop music encompassed rock and roll and the youth-oriented styles it influenced. Rock and pop music remained roughly synonymous until the late 1960s, after which pop became associated with music that was more commercial, ephemeral, and accessible."
2,jazz,"Jazz is a music genre that originated in the African-American communities of New Orleans, Louisiana, in the late 19th and early 20th centuries. Its roots are in blues, ragtime, European harmony, African rhythmic rituals, spirituals, hymns, marches, vaudeville song, and dance music. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music. Jazz is characterized by swing and blue notes, complex chords, call and response vocals, polyrhythms and improvisation."
3,rock,"Rock music is a genre of popular music that originated in the United States as ""rock and roll"" in the late 1940s and early 1950s, developing into a range of styles from the late 50s to mid-1960s, primarily in the United States and United Kingdom. It has its roots beginning as classic rock and roll, a style that drew from the African-American musical genres of blues and rhythm and blues, as well as from country music. Rock also drew strongly from genres such as electric blues and folk, and incorporated influences from jazz and other styles. Rock is typically centered on the electric guitar, usually as part of a rock group with electric bass guitar, drums, and one or more singers."
4,hip hop,"Hip-hop is a genre of popular music that emerged in the early 1970s alongside an associated subculture created by African-American and Afro-Caribbean communities in New York City. The musical style is a synthesis of a wide range of techniques, but rapping is frequent enough that it has become a defining characteristic. Other key markers of the genre are the disc jockey (DJ), turntablism, scratching, beatboxing, and instrumental tracks. Cultural interchange has always been central to the hip-hop genre: It simultaneously borrows from its social environment while commenting on it."
5,acid jazz,"Acid jazz is a music genre that combines elements of funk, soul, and hip hop. Acid jazz originated in clubs in London during the 1980s with the rare groove movement and spread to the United States, Western Europe, Latin America and Japan. Acts included The Brand New Heavies, Incognito, James Taylor Quartet, Us3, and Jamiroquai from the UK, and Guru, Buckshot LeFonque and Digable Planets from the U.S. The rise of electronic club music in the middle to late 1990s led to a decline in interest, and in the twenty-first century, acid jazz became indistinct as a genre. Many acts that might have been defined as acid jazz are seen as jazz-funk, or nu jazz."
6,dixieland,"Dixieland jazz, also referred to as traditional jazz, hot jazz, or simply Dixieland, is a style of jazz based on the music that developed in New Orleans at the start of the 20th century. The 1917 recordings by the Original Dixieland Jass Band fostered awareness of this new style of music."
7,jazz fusion,"Jazz fusion is a popular music genre that developed in the late 1960s when musicians combined jazz harmony and improvisation with rock music, funk, and rhythm and blues. Electric guitars and basses, amplifiers, and keyboard instruments that were popular in rock began to be used by jazz musicians, particularly those who had grown up listening to rock and roll."
8,pop rock,"Pop rock is rock music with greater emphasis on professional songwriting and recording craft, and less emphasis on attitude than standard rock music. Originating in the late 1950s as an alternative to normal rock and roll, early pop rock was influenced by the beat, arrangements, and original style of rock and roll. It is categorized both as a distinct music genre and as continuous categories of pop and rock. The detractors of pop rock often deride it as a slick, commercial product and less authentic than rock music."
9,rap rock,"Rap rock is a fusion genre that developed from the early to mid-1980s, when hip hop DJs incorporated rock records into their routines and rappers began incorporating original and sampled rock instrumentation into hip hop music. Rap rock is considered to be rock music in which lyrics are rapped, rather than sung. The genre achieved its greatest success in the late 1990s and early 2000s."
10,synth-pop,"Synth-pop is a music genre that first became prominent in the late 1970s and features the synthesizer as the dominant musical instrument. It was prefigured in the 1960s and early 1970s by the use of synthesizers in progressive rock, electronic, art rock, disco, and particularly the Krautrock of bands like Kraftwerk. It arose as a distinct genre in Japan and the United Kingdom in the post-punk era as part of the new wave movement of the late 1970s."
